text,emoji
то же вот влипила всем 1 да же Саше,😅
Саша мой любимчик,❤
"бы Саша и Константин попали в финал ,сейчас полностью изменилось мнение о Константине ,прозрела наверное",😅
"жизни ,радуй свою аудиторию ,,но увы зачем то взял руку ,которая совсем не для него",🙃
Лучше и не скажешь,👍
кого выбрали зрители жестоко засаживают … оно мне надо еще раз весь этот негатив переживать,🤦🏻
"Да он еще в начале сказал , помните? И последние станут первыми",👍👍👍
согласна с вами,💯
"пзд, везде фокается один с этой рукой стоит, лично мне было не приятно, фу Олег",💩
"Вике, вы шуты реально, она набрала 21% и за это ей еще и руку давать",👺
Еще кстати Лина лицемерка,🤡
повтор будет? Пропустила,😉
Даже интересно послушать ваше мнение о Константине,😎
Вы так топили за него раньше,🤔
"они не предполагали, что даже с ошибочными голосами за Олега, может занять первое место Влад",🤷
"кучу коментариев кто хотел проголосовать за других участников, Олег мог вообще оказаться на 4 месте",🤷
"она к нему обратилась(и я не раз про это упоминала, что возможно как психолог помог",👆
Столько негатива было на Влада из-за этого вылито,🙈
"тем что несмотря на его методы работы, несмотря на его эмоциональные высказывания его любит зритель",🤷
И он стал победителем,👆
А смотрите что осталось за кадром,🤷
"И в глазах опускаются кумиры, и наверх поднимаются те кого чмырили",🤷
Константин и Виктория,❤
"Капец, как некрасиво",🤦🏼
Вот и я тоже так считаю,🤝
"думала всё таки победит Вика или Олег, а тут бац - Влад влетает с ноги",😂
"покажет себя так, чтоб ни у кого и сомнений не было - кто здесь сильнейший",😎🤟🤘
"выше Влад и он взял эту руку, зачем, по справедливости это рука Влада! Виктория супер",👍
"красота и магия!!! Они всё достойны наград, каждый раз смотрю и восхищаюсь!!",🌈🌈
Саша мой любимчик,❤
какой был и какой сейчас мне нравится,🤗
"нравится его чувство юмора , яркий ,эмоциональный ,а глаза у Саши добрые",❤
"меня больше любит», и всем доказывает, что это не ложь, звонит маме или смски показывает",😃
"можно доказать то чего нет ? Только слепой и Олег не видит ,что Саша сильнее",😅
"подколы от Саши это просто ,что бы Олег не расслаблялся",🙃
"Я хз, кто из этих двоих сильнее, я им обоим особо не верю",😅
Пока что только в его силы я верю,😅
"Ну что, кто где встречает Новый год?",🎉
"Наш совет: быть в теплом кругу родных и близких, а «Газпром» позаботится о вашем комфорте",❤
Дааа всех с наступающим,🥰🥰
С наступающим дорогие,❄🎅
Всех с наступающим Новым годом!!!!!,🥳🤩🫶
С наступающим всех,🎄
"ПРЯМО СЕЙЧАС и узнай, попал ли ты в топ-200 участников нашей игры «Гена ловит обувь»",🔥
"Конечно попал ,ихихи",🥰💋
"Тоже выиграл, ехуу",👍😁
Никогда подлыми поступками не подняться выше,☝
